temperature   1(scheme2)   2    3    4    scheme3   scheme4   scheme5   
1450.0 -10.522281 -11.074133 -10.512625 -10.546287 -10.703012999999999 -10.663831499999999 -10.527064333333334
1460.0 -10.516492 -11.0685425 -10.503148 -10.509968 -10.696060833333334 -10.649537625 -10.509869333333333
1470.0 -10.510377 -11.061539 -10.492775 -10.50828 -10.688230333333335 -10.64324275 -10.503810666666666
1480.0 -10.504263 -11.054434 -10.481587 -10.506593 -10.680094666666667 -10.63671925 -10.497481
1490.0 -10.498149 -11.046891 -10.470685 -10.504906 -10.671908333333334 -10.63015775 -10.491246666666667
1500.0 -10.492034 -11.039349 -10.465486 -10.503219 -10.665622999999998 -10.625022 -10.486913000000001
1510.0 -10.485907 -11.031806 -10.460287 -10.501531 -10.659333333333334 -10.61988275 -10.482574999999999
1520.0 -10.479632 -11.024263 -10.4549265 -10.499844 -10.6529405 -10.614666374999999 -10.478134166666667
1530.0 -10.473254 -11.016722 -10.449536 -10.498157 -10.646504 -10.60941725 -10.473649
1540.0 -10.466538 -11.009179 -10.443714 -10.496469 -10.639810333333333 -10.603975 -10.468907
1550.0 -10.459822 -11.0016365 -10.4373 -10.4947815 -10.6329195 -10.598385 -10.463967833333335
1560.0 -10.453106 -10.9941635 -10.430884 -10.493094 -10.626051166666668 -10.592811875 -10.459028
1570.0 -10.44639 -10.986989 -10.424471 -10.491406 -10.619283333333334 -10.587314 -10.454088999999998
1580.0 -10.439673 -10.977709 -10.418056 -10.48972 -10.611812666666667 -10.5812895 -10.449149666666665
1590.0 -10.433046 -10.968428 -10.411642 -10.488032 -10.604372 -10.575287 -10.444239999999999
1600.0 -10.428378 -10.9591465 -10.405227 -10.486344 -10.597583833333333 -10.569773875 -10.439983
1610.0 -10.42407 -10.949865 -10.398812 -10.484657 -10.590915666666668 -10.564351 -10.435846333333332
1620.0 -10.419761 -10.940588 -10.392398 -10.482971 -10.584249 -10.5589295 -10.43171
1630.0 -10.415452 -10.932051 -10.3859825 -10.481283 -10.5778285 -10.553692125 -10.427572499999998
1640.0 -10.411144 -10.923929 -10.379568 -10.479595 -10.571547 -10.548559000000001 -10.423435666666666
1650.0 -10.406836 -10.915809 -10.373153 -10.477908 -10.565266000000001 -10.5434265 -10.419299
1660.0 -10.402527 -10.90769 -10.36674 -10.47622 -10.558985666666667 -10.53829425 -10.415162333333333
1670.0 -10.398218 -10.899568 -10.360326 -10.474534 -10.552704 -10.5331615 -10.411026
1680.0 -10.3939085 -10.891449 -10.3539095 -10.472845 -10.546422333333334 -10.528027999999999 -10.406887666666668
1690.0 -10.389602 -10.8833275 -10.347495 -10.471158 -10.540141499999999 -10.522895625 -10.402751666666667
1700.0 -10.385292 -10.875208 -10.341082 -10.469471 -10.533860666666667 -10.51776325 -10.398615
1710.0 -10.380984 -10.868162 -10.334666 -10.467784 -10.527937333333334 -10.512899 -10.394478
1720.0 -10.376675 -10.861222 -10.328253 -10.466097 -10.52205 -10.50806175 -10.390341666666666
1730.0 -10.372366 -10.854282 -10.321837 -10.46452 -10.516161666666667 -10.50325125 -10.386241
1740.0 -10.368058 -10.847343 -10.315423 -10.463601 -10.510274666666666 -10.49860625 -10.382360666666667
